murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,violentPerPop,nonViolPerPop
0,0.0,0.0,0.0,1.0,8.2,4.0,32.81,14.0,114.85,138.0,1132.08,16.0,131.26,2.0,16.41,41.02,1394.59
0,0.0,1.0,4.25,5.0,21.26,24.0,102.05,57.0,242.37,376.0,1598.78,26.0,110.55,1.0,4.25,127.56,1955.95
3,8.3,6.0,16.6,56.0,154.95,14.0,38.74,274.0,758.14,1797.0,4972.19,136.0,376.3,22.0,60.87,218.59,6167.51
0,0.0,10.0,57.86,10.0,57.86,33.0,190.93,225.0,1301.78,716.0,4142.56,47.0,271.93,,,306.64,
0,0.0,,,4.0,32.04,14.0,112.14,91.0,728.93,1060.0,8490.87,91.0,728.93,5.0,40.05,,9988.79
7,4.63,77.0,50.98,136.0,90.05,449.0,297.29,2094.0,1386.46,7690.0,5091.64,454.0,300.6,134.0,88.72,442.95,6867.42
0,0.0,4.0,13.53,9.0,30.44,54.0,182.66,110.0,372.09,288.0,974.19,144.0,487.1,17.0,57.5,226.63,1890.88
8,13.13,34.0,55.79,98.0,160.8,128.0,210.02,608.0,997.6,2250.0,3691.79,125.0,205.1,9.0,14.77,439.73,4909.26
0,0.0,35.0,43.87,16.0,20.05,41.0,51.39,425.0,532.66,3149.0,3946.71,206.0,258.18,8.0,10.03,115.31,4747.58
29,26.88,141.0,130.69,453.0,419.89,1043.0,966.77,2397.0,2221.81,6121.0,5673.63,1070.0,991.8,18.0,16.68,1544.24,8903.93
1,3.11,29.0,90.25,71.0,220.96,131.0,407.69,468.0,1456.49,1817.0,5654.8,151.0,469.94,6.0,18.67,722.02,7599.9
12,44.42,21.0,77.73,309.0,1143.81,362.0,1340.0,478.0,1769.39,1460.0,5404.4,430.0,1591.71,20.0,74.03,2605.96,8839.53
3,6.54,36.0,78.53,58.0,126.52,269.0,586.8,582.0,1269.58,1786.0,3895.99,148.0,322.85,9.0,19.63,798.39,5508.05
16,27.26,59.0,100.51,261.0,444.61,531.0,904.55,1754.0,2987.92,2010.0,3424.02,517.0,880.7,46.0,78.36,1476.93,7371.0
0,0.0,,,0.0,0.0,9.0,65.82,67.0,489.98,283.0,2069.62,21.0,153.58,1.0,7.31,,2720.49
0,0.0,,,27.0,79.7,37.0,109.22,226.0,667.12,1618.0,4776.1,159.0,469.34,7.0,20.66,,5933.23
1,2.19,0.0,0.0,23.0,50.46,17.0,37.29,282.0,618.62,906.0,1987.5,232.0,508.94,7.0,15.36,89.94,3130.42
9,5.02,30.0,16.72,355.0,197.91,277.0,154.42,1596.0,889.74,4501.0,2509.23,1447.0,806.68,73.0,40.7,374.07,4246.34
0,0.0,2.0,13.24,10.0,66.18,5.0,33.09,99.0,655.15,414.0,2739.73,18.0,119.12,4.0,26.47,112.5,3540.47
7,2.39,146.0,49.94,710.0,242.88,1396.0,477.55,3977.0,1360.48,11514.0,3938.78,2452.0,838.8,97.0,33.18,772.77,6171.23
0,0.0,,,13.0,21.41,55.0,90.6,271.0,446.39,1468.0,2418.09,100.0,164.72,62.0,102.13,,3131.33
1946,26.59,2818.0,38.5,86001.0,1174.95,62778.0,857.68,99207.0,1355.37,235132.0,3212.39,112464.0,1536.49,4443.0,60.7,2097.71,6164.95
2,12.89,9.0,58.03,42.0,270.79,47.0,303.03,226.0,1457.12,547.0,3526.76,50.0,322.37,5.0,32.24,644.75,5338.49
0,0.0,1.0,8.07,0.0,0.0,17.0,137.13,64.0,516.25,582.0,4694.68,27.0,217.79,4.0,32.27,145.2,5461.0
0,0.0,10.0,55.52,19.0,105.48,72.0,399.71,226.0,1254.65,721.0,4002.66,63.0,349.75,2.0,11.1,560.71,5618.16
0,0.0,9.0,29.18,10.0,32.42,44.0,142.64,233.0,755.34,1215.0,3938.79,48.0,155.61,6.0,19.45,204.23,4869.19
1,6.69,2.0,13.38,24.0,160.6,25.0,167.29,149.0,997.06,357.0,2388.92,45.0,301.12,1.0,6.69,347.97,3693.79
8,8.59,42.0,45.1,243.0,260.94,540.0,579.87,1368.0,1469.01,4316.0,4634.68,889.0,954.64,31.0,33.29,894.51,7091.62
2,14.57,20.0,145.72,3.0,21.86,132.0,961.75,217.0,1581.06,975.0,7103.83,55.0,400.73,8.0,58.29,1143.9,9143.9
7,25.12,24.0,86.13,121.0,434.25,50.0,179.44,197.0,707.01,797.0,2860.32,238.0,854.15,0.0,0.0,724.95,4421.48
0,0.0,2.0,17.4,9.0,78.28,160.0,1391.67,213.0,1852.66,297.0,2583.28,32.0,278.33,1.0,8.7,1487.34,4722.97
21,13.75,7.0,4.58,163.0,106.72,862.0,564.37,1720.0,1126.13,6246.0,4089.41,1040.0,680.91,80.0,52.38,689.42,5948.83
0,0.0,3.0,14.98,3.0,14.98,4.0,19.97,128.0,639.11,314.0,1567.81,17.0,84.88,,,49.93,
0,0.0,0.0,0.0,0.0,0.0,2.0,16.72,34.0,284.28,68.0,568.56,8.0,66.89,0.0,0.0,16.72,919.73
1,4.92,14.0,68.92,6.0,29.54,111.0,546.45,213.0,1048.59,882.0,4342.05,76.0,374.14,0.0,0.0,649.83,5764.78
0,0.0,4.0,28.91,7.0,50.6,37.0,267.46,161.0,1163.8,502.0,3628.74,51.0,368.66,13.0,93.97,346.97,5255.17
6,36.77,3.0,18.38,73.0,447.33,207.0,1268.46,628.0,3848.28,1125.0,6893.8,102.0,625.04,10.0,61.28,1770.94,11428.4
1,4.04,4.0,16.15,29.0,117.11,117.0,472.5,279.0,1126.73,554.0,2237.3,256.0,1033.84,15.0,60.58,609.81,4458.44
16,35.96,34.0,76.4,66.0,148.31,133.0,298.88,1745.0,3921.35,2631.0,5912.36,186.0,417.98,57.0,128.09,559.55,10379.78
1,3.54,1.0,3.54,24.0,85.06,32.0,113.41,153.0,542.25,586.0,2076.84,54.0,191.38,0.0,0.0,205.56,2810.46
8,8.85,43.0,47.57,39.0,43.14,373.0,412.63,842.0,931.46,3333.0,3687.11,174.0,192.49,,,512.19,
0,0.0,7.0,25.08,22.0,78.84,176.0,630.69,206.0,738.19,990.0,3547.62,89.0,318.93,19.0,68.09,734.61,4672.83
19,27.27,,,423.0,607.12,1420.0,2038.09,1470.0,2109.86,1964.0,2818.88,874.0,1254.43,60.0,86.12,,6269.29
9,16.22,37.0,66.7,160.0,288.42,304.0,547.99,646.0,1164.49,1974.0,3558.36,254.0,457.86,26.0,46.87,919.33,5227.58
2,12.52,7.0,43.81,22.0,137.7,78.0,488.2,164.0,1026.48,980.0,6133.82,54.0,337.99,9.0,56.33,682.23,7554.61
2,2.92,9.0,13.15,28.0,40.9,51.0,74.5,415.0,606.2,1214.0,1773.32,98.0,143.15,14.0,20.45,131.47,2543.13
0,0.0,5.0,20.8,22.0,91.5,164.0,682.11,412.0,1713.6,874.0,3635.15,139.0,578.13,3.0,12.48,794.41,5939.36
1,7.38,1.0,7.38,3.0,22.15,52.0,383.99,302.0,2230.1,324.0,2392.56,56.0,413.53,8.0,59.08,420.91,5095.26
1,1.55,,,116.0,180.07,243.0,377.21,625.0,970.18,2235.0,3469.37,264.0,409.8,13.0,20.18,,4869.53
